Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/v1/token (login),80,46,570.0,771.0971359249995,458.4880829999998,1795.7349159999999,1107.2,1.3525486500999393,0.7777154738074651,570,800,1100,1200,1500,1500,1500,1800,1800,1800,1800
OPTIONS,/functions/v1/ai-coach [OPTIONS],1172,0,150.0,160.5881943191127,75.54791700000018,1337.700667,2.0,19.81483772396411,0.0,150,160,160,170,190,290,420,540,970,1300,1300
POST,/functions/v1/ai-coach [POST],241,0,190.0,236.23286047717804,120.21475000000237,1791.670583000002,577.7634854771784,4.074552808426067,0.0,190,200,210,220,450,520,720,730,1800,1800,1800
OPTIONS,/functions/v1/receipt-scanner [OPTIONS],773,0,150.0,161.80113872186303,81.43712500000078,968.0119159999998,2.0,13.069001331590664,0.0,150,160,170,170,190,270,340,420,970,970,970
OPTIONS,/functions/v1/send-notifications [OPTIONS],759,0,160.0,172.73662370224002,84.86975000000285,970.796,2.0,12.832305317823174,0.0,160,170,170,180,190,280,370,570,970,970,970
POST,/functions/v1/send-notifications [POST],128,0,1400.0,1495.0110804140636,1187.613958,2377.80025,79.0,2.164077840159903,0.0,1400,1500,1600,1700,1800,2200,2300,2300,2400,2400,2400
GET,/rest/v1/ [anon guard],401,0,52,66.57075706982546,34.88758299999972,855.281417,98.0,6.779650108625946,0.0,52,56,61,63,78,190,240,270,860,860,860
GET,/rest/v1/profiles [GET],51,0,340.0,351.7109329999995,320.0996659999973,1009.6473749999999,622.0,0.8622497644387114,0.0,340,340,340,350,360,370,390,1000,1000,1000,1000
GET,/rest/v1/transactions [GET],61,0,350.0,369.14528485245876,324.6774579999965,1026.513833,11084.0,1.0313183457012038,0.0,350,350,350,360,380,390,1000,1000,1000,1000,1000
,Aggregated,3666,46,150.0,224.09166487997754,34.88758299999972,2377.80025,270.18030551009275,61.98054189082972,0.7777154738074651,150,170,180,190,340,660,1400,1500,2300,2400,2400
